"ensembl_gene_id"	"mgi_symbol"	"gene_biotype"	"description"	"P.Value_NAC_F_FENT"	"P.Value_NAC_M_FENT"	"P.Value_NAC_FENT"	"P.Value_NAC_FENT_INPUT"	"P.Value_NAC_SAL_INPUT"	"P.Value_NAC_PFC_FENT"	"P.Value_NAC_PFC_SAL"	"logFC_NAC_F_FENT"	"logFC_NAC_M_FENT"	"logFC_NAC_FENT"	"logFC_NAC_FENT_INPUT"	"logFC_NAC_SAL_INPUT"	"logFC_NAC_PFC_FENT"	"logFC_NAC_PFC_SAL"
"ENSMUSG00000114191"	"Gm18631"	"processed_pseudogene"	"predicted gene, 18631 [Source:MGI Symbol;Acc:MGI:5010816]"	0.837676700332664	0.911952751569255	0.939344124173698	4.02795822600862e-31	2.97814854708517e-28	0.308747316651461	0.831619133805434	0.0564929344920637	-0.0280050431861714	0.0142439456529462	-3.83395610849821	-3.75096590548698	-0.177916723086551	-0.0424206669543026
"ENSMUSG00000114196"	"Gm47547"	"lncRNA"	"predicted gene, 47547 [Source:MGI Symbol;Acc:MGI:6096561]"	0.133183647202434	0.311122269237155	0.668623305376512	2.10721257336809e-15	8.16655823427867e-13	0.344244291765866	0.276698023745974	-0.561827140935435	0.346277301271216	-0.107774919832109	-2.40478769177111	-2.27122635758908	0.222078651397593	0.29310373070843
"ENSMUSG00000114200"	"Gm34721"	"lncRNA"	"predicted gene, 34721 [Source:MGI Symbol;Acc:MGI:5593880]"	0.763065576513943	0.848314192620935	0.725345423230692	1.82344927672235e-09	9.93651426036581e-10	0.0049886132885167	0.132789136562515	0.149337472341744	0.0870154296827819	0.118176451012263	-2.14077905120107	-2.42530370345108	-0.907708071776547	-0.543730147415133
"ENSMUSG00000114210"	"A330084C13Rik"	"lncRNA"	"RIKEN cDNA A330084C13 gene [Source:MGI Symbol;Acc:MGI:2685802]"	0.909337426162195	0.24845117025089	0.484029418177896	0.00107568776791775	0.00113010557076237	0.504842978117357	0.997503575955759	0.0370980049712255	-0.347302520156993	-0.155102257592884	-0.682929132721074	-0.753610537097803	-0.137388844837284	0.000737415755714038
"ENSMUSG00000114217"	"Gm7054"	"processed_pseudogene"	"predicted gene 7054 [Source:MGI Symbol;Acc:MGI:3779659]"	0.97424264565695	0.685501088364425	0.80235666583876	0.000319959795047334	0.0997570307894978	0.19316700709762	0.0340632058820541	-0.00900738609688734	0.103845770140871	0.0474191920219919	0.649988491479462	0.315363484206174	0.230792681914307	0.435998776524933
"ENSMUSG00000114220"	"Gm10353"	"lncRNA"	"predicted gene 10353 [Source:MGI Symbol;Acc:MGI:3704491]"	0.918232790391034	0.0743668580953669	0.253628607772206	0.900083107170793	0.193925124185117	0.390733380232212	0.0283267655959952	-0.0386970139378651	0.626200347147869	0.293751666605002	0.0289827759551603	-0.334818766703038	-0.204844045884624	-0.61032132697776
"ENSMUSG00000114244"	"Gm47119"	"lncRNA"	"predicted gene, 47119 [Source:MGI Symbol;Acc:MGI:6095865]"	0.636905263077857	0.972448772763567	0.745596997959647	3.83791148654625e-06	2.31681220559648e-05	0.197955032813824	0.012103420960734	-0.180662030798293	0.0121306582851902	-0.0842656862565516	1.18709993458355	1.1872525699784	0.312918022529656	0.713013604712417
"ENSMUSG00000114251"	"Tmed10-ps"	"processed_pseudogene"	"transmembrane p24 trafficking protein 10, pseudogene [Source:MGI Symbol;Acc:MGI:3782198]"	0.338429749082927	0.651441336548327	0.687988569803867	3.07868691333441e-05	0.00513066975170249	0.00202449640183719	0.00423565991131039	0.0956243525659293	-0.0413274852348779	0.0271484336655257	-0.273778853029212	-0.195506940952816	-0.201943920611215	-0.213226483650188
"ENSMUSG00000114255"	"Gm10734"	"lncRNA"	"predicted gene 10734 [Source:MGI Symbol;Acc:MGI:3642559]"	0.432594926425897	0.460089321310713	0.28235242153831	7.80670767973391e-21	3.73236575228596e-17	0.865826061759724	0.241644228189273	-0.319784198372083	-0.276418177641176	-0.29810118800663	-3.52879238823831	-3.22913847643858	0.0433523379012494	0.346304330811287
"ENSMUSG00000114260"	"Gm19198"	"processed_pseudogene"	"predicted gene, 19198 [Source:MGI Symbol;Acc:MGI:5011383]"	0.175915223558485	0.974277341167874	0.327712559690009	5.336895769442e-26	2.0805387000196e-20	0.597249242799144	0.538211974689351	-0.370238797668563	0.00803955852086169	-0.181099619573851	-3.01084506249622	-2.557805112132	-0.0906348587275108	0.121071526518407
"ENSMUSG00000114266"	"Gm10403"	"TEC"	"predicted gene 10403 [Source:MGI Symbol;Acc:MGI:3641963]"	0.372938547191669	0.630198968821393	0.73972606653656	1.21534672774337e-16	2.82340636616326e-14	0.36239031070519	0.208276149236685	0.363003623628722	-0.17974793624615	0.0916278436912861	-2.82836860056614	-2.73074593757158	0.234271851091726	0.372150917769884
"ENSMUSG00000114270"	"Gm48746"	"lncRNA"	"predicted gene, 48746 [Source:MGI Symbol;Acc:MGI:6098418]"	0.822706508776418	0.706372861303223	0.674673643910269	4.30051182700337e-15	1.80339199723235e-14	0.872606964098402	0.433637645284626	-0.078371111954461	-0.121084655812851	-0.0997278838836562	-2.22827638352741	-2.37985718028975	-0.0353981108184214	0.198609350468682
"ENSMUSG00000114277"	"Gm48583"	"processed_pseudogene"	"predicted gene, 48583 [Source:MGI Symbol;Acc:MGI:6098152]"	0.201229948815877	0.961657995545224	0.328893313092458	0.555752553463867	0.0401008274878925	0.080301784108555	0.671109724003692	0.404977009431066	0.0138959760389358	0.209436492735001	-0.113700855321855	-0.446481564123823	-0.351939868355305	0.0967487561121731
"ENSMUSG00000114278"	"Gm49027"	"protein_coding"	"predicted gene, 49027 [Source:MGI Symbol;Acc:MGI:6118396]"	0.436392813959216	0.337670905599658	0.223185588914803	1.52295492817717e-08	2.96737098180486e-05	0.854397811296511	0.0705396133787806	-0.152657815219935	-0.172971249035544	-0.162814532127739	-0.780937615500051	-0.598169678377704	0.0226653132770022	0.259551753610888
"ENSMUSG00000114282"	"5330431K02Rik"	"TEC"	"RIKEN cDNA 5330431K02 gene [Source:MGI Symbol;Acc:MGI:1915439]"	0.636126538672412	0.567106056400649	0.462470723957869	0.036500164243712	0.0508320682058173	0.60086400100074	0.0474966757745578	-0.321657484032575	-0.357566128892728	-0.339611806462651	0.886177599270363	0.915265512115924	0.224556652544125	0.990285703339475
"ENSMUSG00000114285"	"Gm47773"	"processed_pseudogene"	"predicted gene, 47773 [Source:MGI Symbol;Acc:MGI:6096932]"	0.602763979993059	0.253047121104747	0.248225161870615	3.62677723100899e-16	1.00313208364307e-14	0.373399704627295	0.379876990225077	-0.183110027438672	-0.371022333552207	-0.277066180495439	-2.38332833327155	-2.42886901627161	-0.198124724191874	0.224004706648446
"ENSMUSG00000114305"	"Gm48437"	"TEC"	"predicted gene, 48437 [Source:MGI Symbol;Acc:MGI:6097942]"	0.499090125163451	0.6464688602113	0.850748172632307	2.03174568858863e-21	5.07172260484732e-19	0.496734974427952	0.698551662265554	0.224930907331479	-0.140058652362146	0.0424361274846667	-2.96830034193388	-2.91555376226638	0.142763844190914	0.0931198183033428
"ENSMUSG00000114309"	"Gm48295"	"lncRNA"	"predicted gene, 48295 [Source:MGI Symbol;Acc:MGI:6097735]"	0.558741940887941	0.420195812512419	0.329997115994278	0.000355795743512117	0.0815633069410768	0.659954148593201	0.0239274868291147	-0.216393821155517	-0.274381747371772	-0.245387784263644	-0.853663011503048	-0.442647417958213	0.102716594750464	0.617042680987458
"ENSMUSG00000114310"	"Gm48602"	"TEC"	"predicted gene, 48602 [Source:MGI Symbol;Acc:MGI:6098182]"	0.0338887720194658	0.166613750854549	0.516949897646328	0.985888698260919	0.595766459153642	0.756802204234769	0.30727302667526	1.51316674125485	-0.896305510690891	0.308430615281978	-0.00757913654591036	-0.252333928015244	0.136844408904332	0.519171999690055
"ENSMUSG00000114321"	"Gm8971"	"processed_pseudogene"	"predicted gene 8971 [Source:MGI Symbol;Acc:MGI:3648536]"	0.495072981869948	0.420618575835842	0.965820437734172	0.00127199437705624	0.0386517682358402	0.976210926526459	0.786901895836957	0.172038612621362	-0.186681720063309	-0.00732155372097348	-0.519187582977929	-0.359799183077031	0.0047369968505025	0.049236789078665
"ENSMUSG00000114362"	"4933433G19Rik"	"lncRNA"	"RIKEN cDNA 4933433G19 gene [Source:MGI Symbol;Acc:MGI:1918476]"	0.201244910721424	0.735003794008543	0.241992223126714	2.15941821553784e-12	3.99830283146342e-09	0.423034350611124	0.863787571990458	-0.302588720065289	-0.0731407154646235	-0.187864717764956	1.26374774164075	1.0950820827603	-0.119232810516305	-0.0291878514158769
"ENSMUSG00000114384"	"4930455J16Rik"	"lncRNA"	"RIKEN cDNA 4930455J16 gene [Source:MGI Symbol;Acc:MGI:1914835]"	0.284136889582446	0.987617721138938	0.435313266344811	1.47890844122279e-13	1.20474795779382e-12	0.477874244949622	0.6948636727465	0.444944939579598	-0.00589337140724622	0.219525784086176	-2.39768390420622	-2.50556286607777	-0.185598440009417	0.117400811276052
